Temp,Turb,pH
4.173,1.684,7.151
4.185,1.618,7.152
4.189,1.597,7.155
4.180,1.938,7.147
4.182,2.162,7.144
4.197,1.769,7.146
4.190,1.523,7.143
4.204,1.467,7.141
4.223,1.231,7.154
4.212,1.352,7.141
4.221,1.377,7.146
4.239,1.247,7.150
4.244,1.377,7.144
4.234,1.452,7.151
4.246,1.103,7.152
4.256,1.238,7.143
4.259,1.576,7.136
4.279,1.576,7.144
4.298,1.329,7.145
4.301,0.997,7.183
4.346,1.071,7.155
4.362,1.041,7.225
4.391,1.052,7.194
4.408,1.071,7.182
4.392,1.295,7.124
4.422,1.157,7.152
4.365,1.335,7.131
4.384,1.442,7.121
4.419,1.473,7.118
4.448,1.208,7.124
4.482,1.324,7.122
4.479,1.290,7.125
4.518,1.385,7.115
