Temp,Turb,pH
7.175,2.68,7.15
7.18,2.61,7.15
7.187,2.59,7.15
7.183,2.93,7.14
7.182,3.16,7.14
7.196,2.76,7.14
7.189,2.52,7.14
7.202,2.46,7.14
7.226,2.23,7.15
7.213,2.35,7.14
7.221,2.37,7.14
7.237,2.24,7.15
7.241,2.37,7.14
7.231,2.45,7.15
7.248,2.1,7.15
7.258,2.23,7.14
7.256,2.57,7.13
7.28,2.57,7.14
7.299,2.32,7.14
7.301,1.99,7.18
7.343,2.07,7.15
7.367,2.04,7.22
7.394,2.05,7.19
7.411,2.07,7.18
7.394,2.29,7.12
7.421,2.15,7.15
7.369,2.33,7.13
7.382,2.44,7.12
7.42,2.47,7.11
7.448,2.2,7.12
7.486,2.32,7.12
7.48,2.29,7.12
7.516,2.38,7.11
