# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-11-17 12:15:12 -05:00,(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01376307 HUDSON RIVER AT WATER GRANT STREET AT YONKERS NY
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 01376307
#    TS_ID       Parameter Description
#    245339      00010     Temperature, water, degrees Celsius, [HRECOS]
#    246480      00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, [HRECOS]
#    245335      00300     Dissolved oxygen, water, unfiltered, milligrams per liter, [HRECOS]
#    245336      00301     Dissolved oxygen, water, unfiltered, percent of saturation, [HRECOS]
#    245334      00400     pH, water, unfiltered, field, standard units, [HRECOS]
#    245338      63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), [HRECOS]
#    291480      90860     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius, [HRECOS]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Ssn  Parameter monitored seasonally.
#
agency_cd,site_no,datetime,tz_cd,245339_00010,245339_00010_cd,246480_00095,246480_00095_cd,245335_00300,245335_00300_cd,245336_00301,245336_00301_cd,245334_00400,245334_00400_cd,245338_63680,245338_63680_cd,291480_90860,291480_90860_cd
5s,15s,20d,6s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s
USGS,01376307,2023-03-30 12:07,EST,6.7,P,3320,P,11.8,P,,,7.9,P,Ssn,P,1.7,P
USGS,01376307,2023-03-30 12:22,EST,6.9,P,3090,P,11.8,P,,,8.0,P,Ssn,P,1.6,P
USGS,01376307,2023-03-30 12:37,EST,6.8,P,3350,P,11.7,P,,,7.9,P,Ssn,P,1.8,P
USGS,01376307,2023-03-30 12:52,EST,6.8,P,2670,P,11.8,P,,,8.0,P,Ssn,P,1.4,P
USGS,01376307,2023-03-30 13:07,EST,6.7,P,2320,P,11.8,P,,,7.9,P,Ssn,P,1.2,P
USGS,01376307,2023-03-30 13:22,EST,6.7,P,2420,P,11.8,P,,,7.9,P,Ssn,P,1.2,P
USGS,01376307,2023-03-30 13:37,EST,6.8,P,2290,P,11.8,P,,,7.9,P,Ssn,P,1.2,P
USGS,01376307,2023-03-30 13:52,EST,6.8,P,1650,P,11.9,P,,,8.0,P,Ssn,P,0.8,P
USGS,01376307,2023-03-30 14:07,EST,6.8,P,1450,P,12.0,P,,,8.0,P,Ssn,P,0.7,P
USGS,01376307,2023-03-30 14:22,EST,6.8,P,1420,P,12.0,P,,,8.0,P,Ssn,P,0.7,P
USGS,01376307,2023-03-30 14:37,EST,6.8,P,1370,P,12.1,P,,,8.0,P,Ssn,P,0.7,P
USGS,01376307,2023-03-30 14:52,EST,6.8,P,1120,P,12.1,P,,,8.0,P,Ssn,P,0.6,P
USGS,01376307,2023-03-30 15:07,EST,6.9,P,935,P,12.2,P,,,8.0,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 15:22,EST,6.9,P,940,P,12.2,P,,,8.0,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 15:37,EST,6.9,P,936,P,12.2,P,,,7.9,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 15:52,EST,6.9,P,963,P,12.2,P,,,7.9,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 16:07,EST,6.9,P,965,P,12.1,P,,,7.9,P,Ssn,P,0.5,P
USGS,01376307,2023-03-30 16:22,EST,7.7,P,988,P,12.2,P,,,8.5,P,Ssn,P,0.5,P
